职位标题,薪资,薪资单位,结算方式,公司名称,发布时间,职位详情,职位链接
自选 日结杂单/保安/工厂都有,257,天,日结,深圳市生和人力资源有限公司,05-06,"更多纯日结单，可+我查看
1、龙华/沙井联通卡，日结80元现金+200元话费，卡给你自己使用、卡有100元话费，联通卡=50元/张，移动卡=30元/张，中午11:00-16:30内办理

2、宝安app拉新  日结120元-200元，30元/小时，基本4-8小时，没做过app充场都可以，，下载各类app软件、注册虚拟卡，不绑卡无风险，18-60岁，时间早9:30-17:00，早9:15前

3、龙华地铁站台保安
办健康证70元满月报销，包吃包住，两班倒8:00-8:00左右，12小时，在老家交养老保险170元/天，没交的有保安证160元/天，无保安证155元/天，加班15元/小时，服装帽子一套140元工资里扣，男18-50岁以内，正式上岗前跟岗3天，每天8小时，跟岗考核不合格的没有跟岗工资（要酱油的不合适）

4、沙井兴英电子  周结
工期2个月起，体检61.5元，18元/小时+包吃住+每周借支500元+两班倒有站有坐，线路板的组装包装测试等，18-45岁，工衣45元，工作满一个月体检费和工衣费报销

5、光明马田特发电子 日结
手机放车间门口柜子，工期2个月起，不体检，17元/小时+包吃住（吃扣5元/天）+长白班有站有坐+3天后每天发150元+产品/组装/包装等，16-40岁

6、石岩科莱昂科技  
工期3个月起，不体检，17元/小时+包吃住（每餐补6.5元吃超工资里扣）+每周借支500元+长白班走动式站班（个别夜班补15元/天）+无人机的组装包装测试等，16-38岁

7、南山南岗注塑厂 
工期2个月起，不体检，20元/小时+包住+每周借支500元+两班倒有站有坐，手机壳组装注塑丝印等，独立岗位，18-45岁

8、南山阳光路由器 日结 
工期3个月起，不体检，17元/小时+包吃住+3天后可每天发150元+长白班有站有坐（个别夜班补1元/小时），路由器组装包装测试等，18-35岁（前三天吃饭自费）

禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市龙华区富泉大厦B座604 [交通地图]
微信：z256756
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800989.html
龙华/沙井/松岗 体验卡 纯日结,150,天,日结,深圳市生和人力资源有限公司,05-06,"更多纯日结杂单-可+我查看

龙华/松岗/体验卡 日结50-100元
龙华日结50元+100话费
松岗日结100元

卡自己留着用，不用的可以自己剪掉

不得出租转卖给别人，否则后果自负！！

以下情况不能办理
1、一个月前办理过移动卡，移动黑名单、联通黑名单
2、总卡不超过10张可办理、联通卡不超过5张

办理时间：11:00-16:30内，带身份证
禁止转载

联系我时请说明在1010兼职网看到的
联系人：张
公司地址：深圳市龙华区富泉大厦B座604 [交通地图]
微信：z256756
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1799926.html
龙华兼职日结,150,天,日结,深圳市生和人力资源有限公司,05-06,"龙华斗音兼职，日结150元
斗音拉新
禁止转载

联系我时请说明在1010兼职网看到的
联系人：张
公司地址：深圳市龙华区富泉大厦B座604 [交通地图]
微信：z256756
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1800639.html
松岗大田洋，日结，包吃,204,天,日结,深圳市罗湖区嘉湖信息服务部,05-06,"松岗大田洋，日结，包吃
17块每小时，压二天每天结清工资
男女不限16-45两班倒，长白班
个人岗位，可带手机，香烟，包吃提供住
加班稳定，做事简单，管理不严格
禁止转载

联系我时请说明在1010兼职网看到的
联系人：158146
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
微信：15814688171
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1801117.html
松岗大田洋，日结，下班结账,200,天,日结,深圳市罗湖区嘉湖信息服务部,05-06,"松岗大田洋，日结，下班结账
白班18块每小时，夜班19块每小时
压四天每天结清工资，包住不包吃
男女不限16-45岁，女的可长白班
个人岗位，手工活，可带手机的
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄生
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
微信：15814688171
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800704.html
公明马山头，日结，下班结账,204,天,日结,深圳市罗湖区嘉湖信息服务部,05-06,"公明马山头，日结，下班结账
17块每小时，做一天也可以
男女不限16-45岁，不包吃住
做事简单，长白班，坐班
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800706.html
松岗大田洋，日结,209,天,日结,深圳市罗湖区嘉湖信息服务部,05-06,"松岗大田洋，日结，包住
白班19块每小时，夜班20块每小时
压三后每天日结150，普通工衣
个人岗位，手工活，不是流水线
男女不限16-45女的长白班，坐班
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄生
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
微信：15814688171
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800714.html
松岗大田洋，压一周结清工资.包吃住,209,天,日结,深圳市罗湖区嘉湖信息服务部,05-06,"松岗桃花源，呀一周每周结清或周结800
19块每小时，男女不限16-45坐班
手工活，可带手机，加班稳定的
个人岗位，手工活，纯包吃的
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
微信：15814688171
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800709.html
松岗大田洋，周结包吃住,216,天,周结,深圳市罗湖区嘉湖信息服务部,05-06,"松岗大田洋，周结1000包吃包住
男女不限16-45长白班，纯包吃的
可带手机，普通工衣，加班多，做事简单
美女多，加班稳定，男女不限
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
微信：15814688171
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800742.html
松岗大田洋，日结，日结,220,天,日结,深圳市罗湖区嘉湖信息服务部,05-06,"松岗潭头，日结，压24小时每天结清
19块每小时，男女不限16-45长白班
可带手机，加班稳定，包住不包吃
宿舍，食堂都在厂区内，加班多
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市罗湖区翠竹街道翠岭社区翠竹路1050号高标大厦821 [交通地图]
手机：158 1468 ****点击查看完整电话
微信：15814688171
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800703.html
龙华招聘长白班小时工,200,天,日结,深圳市新众包科技有限公司,05-06,"招～长白班临时工(龙华)
需求：3名(成品仓/材料仓）
要求：男生，手脚灵活，有仓库经验即可
上班：朝9晚10
工期：2个月/稳定也可以做长期
地址：龙华，共联都市智谷
工价：20/H(月结)，日结19/H(压一天)

禁止转载

联系我时请说明在1010兼职网看到的
联系人：韩先生
公司地址：龙岗区荣德大厦3209 [交通地图]
手机：173 0195 ****点击查看完整电话
微信：17301950076
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1798377.html
招聘仓库小时工,200,天,日结,深圳市新众包科技有限公司,05-06,"招～长白班临时工(龙华)
需求：3名(成品仓/材料仓）
要求：男生，手脚灵活，有仓库经验即可
上班：朝9晚10
工期：2个月/稳定也可以做长期
地址：龙华，共联都市智谷
工价：20/H(月结)，日结19/H(压一天)

禁止转载

联系我时请说明在1010兼职网看到的
联系人：韩先生
公司地址：龙岗区荣德大厦3209 [交通地图]
手机：173 0195 ****点击查看完整电话
微信：17301950076
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1798389.html
龙华三天后日结工资提供住宿,300,天,日结,深圳市华诚劳务派遣有限公司,05-06,"龙华小时工
工价26元/小时
工作内容：（电子产品，蓝牙耳机打包，组装，扫描 贴标签）接受无经验，小白，简单轻松，易上手

工作要求：年龄18-45岁，本人有效身份证，无案底，无明显纹身

工作时间：8-7点，中间休息一个小时 加班自由

薪资福利：26块钱/小时，一天10-12小时，纯300天，上班3天后每天下班日结，吃住都提供（住宿人员可以带齐行李物品，当天直接安排住宿！）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：零女士
公司地址：龙华油松街道 [交通地图]
手机：186 9796 ****点击查看完整电话
微信：18697962001
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1799557.html
短期临时工（可日结）,260,天,日结,深圳市华诚劳务派遣有限公司,05-06,"龙华小时工
工价25元/小时
工作内容：（电子产品，蓝牙耳机打包，组装，扫描 贴标签）接受无经验，小白，简单轻松，易上手

工作要求：年龄18-45岁，本人有效身份证，无案底，无明显纹身

工作时间：8-7点，中间休息一个小时 加班自由

薪资福利：25块钱/小时，一天10-12小时，纯300天，上班3天后每天下班日结，吃住都提供（住宿人员可以带齐行李物品，当天直接安排住宿！）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：零女士
公司地址：龙华油松街道 [交通地图]
手机：186 9796 ****点击查看完整电话
微信：18697962001
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800361.html
横岗长白班小时工,200,天,日结,深圳市新众包科技有限公司,05-06,"招～长白班小时工
地点：横岗六约
工期：1个月或更长
年龄：25~35岁，男女不限
岗位：装配机壳类的线路
要求：做事要细心，性格乖巧
待遇： 可包午餐，18/小时
禁止转载

联系我时请说明在1010兼职网看到的
联系人：小碗
公司地址：龙岗区荣德大厦3209 [交通地图]
手机：173 0195 ****点击查看完整电话
微信：17301950076
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1801105.html
横岗六约临时工,200,天,日结,深圳市新众包科技有限公司,05-06,"招～长白班小时工
地点：横岗六约
工期：1个月或更长
年龄：25~35岁，男女不限
岗位：装配机壳类的线路
要求：做事要细心，性格乖巧
待遇： 可包午餐，18/小时

禁止转载

联系我时请说明在1010兼职网看到的
联系人：小碗
公司地址：龙岗区荣德大厦3209 [交通地图]
手机：173 0195 ****点击查看完整电话
微信：17301950076
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1801106.html
学生团主班副班日结火热报名中,110,天,日结,深圳市楚悦商务有限公司,05-06,"深圳免费春游会大量要人
日结副班110元一天下班就结
学生团研学旅行导游主班副班，有朋友可以介绍下
8号6.25到福田梅林生活中心集合

8号早上7.00到深圳北站附近学校集合

8号早上6.25到沙吓公交站台后面牛栏前加油站集合副班

8号6.20到龙观路龙华天虹门口郭吓村公交站台集合副班

8早上6.25到5号线龙华民治地铁站A出口出来往前100米副班

压一天日结100元一天
5号下午14.00-19.00到龙岗园山大凤新村公交站台集合副班，男生16-40岁以下，出周二到周五学生团，包吃午餐包住，晚餐需要自带碗筷，自带洗漱用品，可以自带铺盖，也有备用的

有无经验都可以，男女不限16-45岁，不符合年龄勿扰，女生可以放宽几岁，做的好的有10-20元奖励，带小学生一日游，主动协助主班清点人数，看护学生，发餐发水，拍学生活动照，服从主班安排，有责任心，禁止游玩任何游戏项目，时刻保护好自己的安排，不能被主班投诉，投诉了要扣钱，严重投诉的直接走人没有工资
自备一寸纸质照片或者其他机构工作证，尽量休闲鞋纯深色长裤，有双肩背包最好背上，没有背包的有备用背包免费使用，也可以买下来10元一个，第一次来的有一个免费口哨赠送，公司统一上衣帽子更换，下班必须退还，没有黑色长裤的有备用裤子更换，包午餐水不包住，早上去接学生到景区课外实践，下午16.30左右返程回学校交接完就可以下班了，下班送回集合点
严禁给学生保管拿任何东西
严禁跟学生有非正常的接触
如果下暴雨或其他原因早上临时取消会补10-20元车费
正常上班时间3到6月中旬周一到周五早上6.30-18.30左右，节假日周末一般没有

有时间的可以报名，不合适勿扰，报名不要飞机不要迟到不要卡点，看清楚招人信息能准时到的报名，进群了不可以临时退群，飞机事妈罗里吧嗦勿扰
加微信发名字电话年龄，有朋友可以拉群，进群第一时间备注名字电话，谢谢
住的远的报名副班的可以推荐龙华附近男生日租房介绍20-30一晚拎包入住

日结230一天20号民治集合学生团熟手主班10名
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄
公司地址：深圳市宝安区 [交通地图]
手机：189 3357 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/anbao/a1800596.html
春游学生团龙华副班日结,110,天,日结,深圳市楚悦商务有限公司,05-06,"深圳免费春游会大量要人
日结副班110元一天下班就结
学生团研学旅行导游主班副班，有朋友可以介绍下
正常出团日期2月底到5月中旬周一到周五，具体日期提前1-7天通知，新的一年联合深圳10几家大型教育机构旅行社开招

集合点1：早上6.15到龙观路龙华天虹门口郭吓村公交站台后面集合

集合点2：早上6.25到龙华沙吓公交站台集合牛栏前加油站那边，需要40岁以下

集合点3：早上6.25到5号线龙华民治地铁站A出口出来往前100米民治公交站台后面东浩大厦集合


有无经验都可以，男女不限16-45岁，不符合年龄勿扰，女生可以放宽几岁，做的好的有10-20元奖励，带小学生一日游，主动协助主班清点人数，看护学生，发餐发水，拍学生活动照，服从主班安排，有责任心，禁止游玩任何游戏项目，时刻保护好自己的安排，不能被主班投诉，投诉了要扣钱，严重投诉的直接走人没有工资
自备一寸纸质照片或者其他机构工作证，尽量休闲鞋纯深色长裤，有双肩背包最好背上，没有背包的有备用背包免费使用，也可以买下来10元一个，第一次来的有一个免费口哨赠送，公司统一上衣帽子更换，下班必须退还，没有黑色长裤的有备用裤子更换，包午餐水不包住，早上去接学生到景区课外实践，下午16.30左右返程回学校交接完就可以下班了，下班送回集合点
严禁给学生保管拿任何东西
严禁跟学生有非正常的接触
如果下暴雨或其他原因早上临时取消会补10-20元车费

正常上班时间到6月中旬周一到周五早上6.30-18.30左右，节假日周末一般没有

有时间的可以报名，不合适勿扰，报名不要飞机不要迟到不要卡点，看清楚招人信息能准时到的报名，进群了不可以临时退群，飞机事妈罗里吧嗦勿扰

加微信发名字电话年龄，有朋友可以拉群，进群第一时间备注名字电话，谢谢

住的远的报名副班的可以推荐龙华附近男生日租房介绍20-30一晚拎包入住

禁止转载

联系我时请说明在1010兼职网看到的
联系人：小涛
公司地址：深圳市宝安区 [交通地图]
手机：191 2991 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800649.html
日结福田岗厦北西餐厅服务员洗碗,17,小时,日结,深圳市楚悦商务有限公司,05-06,"日结17元一小时下班就结
急招5-10号福田岗厦北西餐厅洗碗熟手帮工2名，男女不限18-55岁，
班次：（12：00   22：00，中间有2个小时休息时间，11.30到吃饭，
工作内容：洗碗，做事勤快麻利，服从安排    

日结17元一小时下班就结
急招5号福田岗厦北西餐厅服务员熟手1名
班次12:30-16:30,18:30-22:30）12.00到了吃饭
工作内容:擦餐具，收台，做卫生，服从安排，不偷懒！！！
要求：男生，有经验，年轻（18～35）形象正常！穿黑色长裤，黑色鞋子
有时间的加
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄
公司地址：深圳市宝安区 [交通地图]
手机：189 3357 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800963.html
龙华民治牛栏前学生团副班日结,110,天,日结,深圳市楚悦商务有限公司,05-06,"深圳免费秋游来了大量要人
日结110元一天下班就结学生团导游副班

8号6.25到民治地铁站A出口出来往前100米公交站台后面集合

8号早上6.25到沙吓公交站台牛栏前加油站集合

8号早上6.20到龙观龙华天虹门口郭吓村集合副班

8号早上6.25到福田梅林生活中心集合

8号早上7.00到深圳北站附近学校集合

一定要找到领队签到登记，不要找错人了，不要走错地方了，看好定位

有无经验都可以，男女不限16-40岁，女生优先，不符合年龄勿扰，
做的好的督导现场有10-20元奖励，带小学生一日游，主动协助主班清点人数，看护学生，发餐发水，拍学生活动照，服从主班安排，有责任心，投诉要扣钱，被严重投诉的直接走人，太胖的不要来，没有衣服穿上不了班没有工资
有双肩背包最好背上，没有的需要提前说下，自备黑色裤子，公司统一短袖帽子更换，下班必须退还，包午餐水不包住
带身份证原件，形象OK，男生胡子刮干净，不要非主流，不要带耳环耳饰，裤子头发洗干净卫生，现场刷下来后果自负
正常上班时间6.30-18.30左右
不要飞机不要迟到，飞机拉黑永不录用，全深圳兼职群通报，看清楚招人信息能准时到的报名，飞机事妈罗里吧嗦勿扰
必须进群备注名字电话，没有进群的一律没有工资
强调下不要重复报名多个地方报名
禁止转载

联系我时请说明在1010兼职网看到的
联系人：小平
公司地址：深圳市宝安区 [交通地图]
手机：191 2991 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800941.html
急招周一到周五龙岗横岗学生团副班包吃包住,100,天,次日结,深圳市楚悦商务有限公司,05-06,"深圳免费春游来了大量要人
压一天日结100元一天下班就结学生团导游副班
提前一天下午19.00到龙岗横岗大凤新村集合入住，出周一到周五，有事情第二天不做的必须提前一天早上9.00前说好安排补人，最少做3天，否则当天工资不予结算

自备洗漱用品，换洗衣服就可以了，基地有床上用品
出团05.30-18.00左右

有无经验都可以，工作轻松简单，只要女生16-40岁，不符合年龄勿扰，超过40周岁的不要来，男生少量
带小学生一日游，工作轻易简单，主动协助主班清点人数，看护学生，发餐发水，拍学生活动照，服从主班安排，不能有任何投诉，不能跟任何人产生冲突，有问题找当班领队负责人沟通
带身份证原件，形象OK，男生胡子刮干净，不要非主流，不要带耳环耳饰，裤子头发洗干净卫生

报名加微信发名字+电话+身份证号码
禁止转载

联系我时请说明在1010兼职网看到的
联系人：小平
公司地址：深圳市宝安区 [交通地图]
手机：191 2991 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/anbao/a1800391.html
6-9号急招龙岗包吃住学生团副班,100,天,日结,深圳市楚悦商务有限公司,05-06,"深圳免费春游来了大量要人
压一天日结100元一天下班就结学生团导游副班
今天下午14.00-19.00到龙岗横岗大凤新村集合入住，出周2到周五，有事情第二天不做的必须提前一天早上9.00前说好安排补人，最少做3天，否则当天工资不予结算

自备洗漱用品，换洗衣服就可以了，基地有床上用品
出团05.30-18.00左右

有无经验都可以，工作轻松简单，限女生16-40岁，男生少量，要听话勤快年轻形象好的，不符合年龄勿扰，超过40周岁的不要来
带小学生一日游，工作轻易简单，主动协助主班清点人数，看护学生，发餐发水，拍学生活动照，服从主班安排，不能有任何投诉，不能跟任何人产生冲突，有问题找当班领队负责人沟通
带身份证原件，形象OK，男生胡子刮干净，不要非主流，不要带耳环耳饰，裤子头发洗干净卫生

报名加微信发名字+电话+身份证号码
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄
公司地址：深圳市宝安区 [交通地图]
手机：189 3357 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800647.html
7-12号福田罗湖龙华发传单,100,天,日结,深圳市楚悦商务有限公司,05-06,"更新日结115一天7小时
7号-10号福田南山龙岗药店帮忙派传单，男女不限18-45岁，做事勤快麻利服从安排，不要非主流，尽量休闲或者正装，形象好点的，可以进群就近安排，上班时间上午8.00-12.00，下午15.00-18.00左右，不包午餐，有时间的可以报名，7.45到指定位置，做一天的105一天，带身份证，不能少人，压一天日结下班群里统一结账，进群第一时间备注名字电话福田或者南山，龙岗
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄
公司地址：深圳市宝安区 [交通地图]
手机：189 3357 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800311.html
日结福田罗湖龙岗发传单7-10号,115,天,日结,深圳市楚悦商务有限公司,05-06,"更新日结115一天7小时不包吃
7号-10号福田南山龙岗药店帮忙派传单，男女不限18-45岁，做事勤快麻利服从安排，不要非主流，尽量休闲或者正装，形象好点的，可以进群就近安排，上班时间上午8.00-12.00，下午15.00-18.00左右，有时间的可以报名，7.45到指定位置，压一天日结，先找7号开始的，带身份证，不能少人，下班群里统一结账，进群第一时间备注名字电话福田或者南山，龙岗
日结的105一天次日结不包吃
禁止转载

联系我时请说明在1010兼职网看到的
联系人：刘
公司地址：深圳市宝安区 [交通地图]
手机：191 2991 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800515.html
学生团副班日结深圳北站福田龙华,110,天,日结,深圳市楚悦商务有限公司,05-06,"深圳免费春游会大量要人
日结副班110元一天下班就结
学生团研学旅行导游主班副班，有朋友可以介绍下

8号6.25到福田梅林生活中心集合副班

8号7.00到深圳北站附近学校集合副班

8号早上6.25到沙吓公交站台后面牛栏前加油站集合副班

8号6.20到龙观路龙华天虹门口郭吓村公交站台后面集合副班

8号早上6.25到5号线龙华民治地铁站A出口出来往前100米副班


压一天日结100元一天
6号下午14-18.00到龙岗园山大凤新村公交站台集合副班，只要男生16-40岁，出周一到周五学生团，包吃午餐包住，晚餐需要自带碗筷，自带洗漱用品，可以自带铺盖，也有备用的

有无经验都可以，男女不限16-45岁，不符合年龄勿扰，女生可以放宽几岁，做的好的有10-20元奖励，带小学生一日游，主动协助主班清点人数，看护学生，发餐发水，拍学生活动照，服从主班安排，有责任心，禁止游玩任何游戏项目，时刻保护好自己的安排，不能被主班投诉，投诉了要扣钱，严重投诉的直接走人没有工资
自备一寸纸质照片或者其他机构工作证，尽量休闲鞋纯深色长裤，有双肩背包最好背上，没有背包的有备用背包免费使用，也可以买下来10元一个，第一次来的有一个免费口哨赠送，公司统一上衣帽子更换，下班必须退还，没有黑色长裤的有备用裤子更换，包午餐水不包住，早上去接学生到景区课外实践，下午16.30左右返程回学校交接完就可以下班了，下班送回集合点
严禁给学生保管拿任何东西
严禁跟学生有非正常的接触
如果下暴雨或其他原因早上临时取消会补10-20元车费
正常上班时间3到6月中旬周一到周五早上6.30-18.30左右，节假日周末一般没有

有时间的可以报名，不合适勿扰，报名不要飞机不要迟到不要卡点，看清楚招人信息能准时到的报名，进群了不可以临时退群，飞机事妈罗里吧嗦勿扰
加微信发名字电话年龄，有朋友可以拉群，进群第一时间备注名字电话，谢谢
住的远的报名副班的可以推荐龙华附近男生日租房介绍20-30一晚拎包入住
禁止转载

联系我时请说明在1010兼职网看到的
联系人：小涛
公司地址：深圳市宝安区 [交通地图]
手机：191 2991 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/laoshi/a1800648.html
福田岗厦北西餐厅服务员洗碗日结,17,小时,日结,深圳市楚悦商务有限公司,05-05,"日结17元一小时下班就结
急招5-10号福田岗厦北西餐厅洗碗熟手帮工2名，男女不限18-55岁，
班次：（12：00   22：00，中间有2个小时休息时间，11.30到吃饭，
工作内容：洗碗，做事勤快麻利，服从安排    

日结17元一小时下班就结
急招5号福田岗厦北西餐厅服务员熟手1名
班次12:30-16:30,18:30-22:30）12.00到了吃饭
工作内容:擦餐具，收台，做卫生，服从安排，不偷懒！！！
要求：男生，有经验，年轻（18～35）形象正常！穿黑色长裤，黑色鞋子
有时间的加微信报名
禁止转载

联系我时请说明在1010兼职网看到的
联系人：小平
公司地址：深圳市宝安区 [交通地图]
手机：191 2991 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800537.html
急招宝安中心扫码兼职,500,天,周结,深圳新东方培训学校,05-04,"【工作内容】
在机构3公里范围内的学校&商场&公园等人流量聚集的地方开展地推扫码工作，利用玩具/礼品/书本资料/文具等物料吸引客户注意力，和客户沟通介绍新东方课程并引导客户扫码预留信息&添加公众号微信预约新东方线下免费课程即可
【工作要求】
1.积极主动，能吃苦耐劳，口才良好；
2.有地推相关工作经验，具有一定抗压能力；
【特别亮点 】
 工资稳定结算！多劳多得
 快速上岗，品牌强大
 时间自由，自主掌控


禁止转载

联系我时请说明在1010兼职网看到的
联系人：张老师
公司地址：福田区新洲路深圳国际商会大厦（B座）0301-0314 [交通地图]
手机：193 0134 ****点击查看完整电话
微信：18220404102
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800312.html
新东方宝安中心校区 | 高薪地推兼职,500,天,周结,深圳新东方培训学校,05-04,"【薪资结构】
★ 基础保障：80元/日（完成15个有效扫码任务）
★ 双重叠加奖励：
 扫码8元/个+企微1元/个

完成任务日均收入180+ 上不封顶 

【工作内容·轻松有方】
 精准推广：向家长群体派发学习资料，引导扫码登记
 智慧沟通：运用标准话术传递新东方品牌价值，拒绝机械硬性推销
 双效达成：同步完成扫码+企业微信添加（收益翻倍秘诀）

 特别亮点 
 工资稳定结算！多劳多得
 快速上岗，品牌强大
 时间自由，自主掌控

【校区位置】新东方宝安校区（1/5号线地铁直达）
 联络：添加微信了解
禁止转载

联系我时请说明在1010兼职网看到的
联系人：张老师
公司地址：福田区新洲路深圳国际商会大厦（B座）0301-0314 [交通地图]
手机：193 0134 ****点击查看完整电话
微信：18220404102
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801037.html
新东方宝安中心校区高薪地推兼职招聘,500,天,周结,深圳新东方培训学校,05-04,"【薪资结构】
★ 基础保障：80元/日（完成10个有效扫码任务）
★ 双重叠加奖励：
 扫码10元/个+企微2元/个

完成任务日均收入180+ 上不封顶 

【工作内容·轻松有方】
 精准推广：向家长群体派发学习资料，引导扫码登记
 智慧沟通：运用标准话术传递新东方品牌价值，拒绝机械硬性推销
 双效达成：同步完成扫码+企业微信添加（收益翻倍秘诀）

 特别亮点 
 工资稳定结算！多劳多得
 快速上岗，品牌强大
 时间自由，自主掌控

【校区位置】新东方宝安校区（1/5号线地铁直达）
 联络：添加微信了解
禁止转载

联系我时请说明在1010兼职网看到的
联系人：陈老师
公司地址：福田区新洲路深圳国际商会大厦（B座）0301-0314 [交通地图]
手机：193 0134 ****点击查看完整电话
微信：yolob_2
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801038.html
英文按待4月15/18日宝安雅士展,1000,天,完工结,台州黄岩普尔发模塑有限公司,04-15,"工资400-1000元，4月15-18日 在深圳宝安国际展览馆，做派发和收名片资料画册，需要男兼职10人女兼职10人，要求身高160CM， 男170CM 以上，形象端庄，身体素质好，吃苦耐劳，着装整洁正式。 负责发公司的样品，广告袋子，名片，和收客户名片，还有展位的上的名片资料和样本书，做的好的每天有奖励金，工资要做完了4天一起结算，做不了4天的不要。 女性最好有高个会说英语的，专业收国外的客户名片。  我们是专业卖模具给国外的客户，展位11W75。 
禁止转载

联系我时请说明在1010兼职网看到的
联系人：邓
公司地址：台州市黄岩新前新城路6号 [交通地图]
手机：136 5659 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/fanyi/a1801022.html
4月15-18日塑料展英文接待,1000,天,完工结,台州黄岩普尔发模塑有限公司,04-15,"400元到1000元，，英文很流利，仪态端庄，做事积极主动，
招礼仪接待会英文   300元一天加奖金    4月15-18日 在深圳宝安国际展览馆，做派发和收名片资料画册，需要男女礼仪，要求身高女160CM， 男170CM 以上，形象端庄， 会流利的英语 工作积极主动 ，着装整洁正式。 负责发公司的样品册子，名片，和收客户名片，做的好的每天有奖励金，工资要做完了4天一起结算，做不了4天的不要联系。  我们是专业卖模具给国外的客户，展位11W75。     
禁止转载

联系我时请说明在1010兼职网看到的
联系人：邓华林
公司地址：台州市黄岩新前新城路6号 [交通地图]
手机：136 5659 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/market/a1801023.html
新田附近日结，可以长期做,176,天,日结,深圳百达信息咨询有限公司,04-14,"16-40岁  男女不限
手工活简单，视力要好 。打螺丝，组装等等工位。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蒋生
公司地址：深圳市龙华新区观澜街道新田新湖南街5号202房 [交通地图]
手机：134 2513 ****点击查看完整电话
微信：13410338283
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800185.html
